ID,Name
1,Boolean_Match_T
2,LOV_Match_T
3,LOV_Match_O
4,Text_Relevancy_T
5,Class_Match_O
6,Property_Match_O
7,Query_Length_Q
8,PageRank_OwlImports_O
9,PageRank_ImplicitImports_O
10,PageRank_Voaf_O
11,Hub_T
12,Max_Hub_O
13,Min_Hub_O
14,Betweenness_T
15,Betweenness_O
16,Semantic_Similarity_O
17,TF_T
18,IDF_T
19,TF_IDF_T
20,TF_O
21,IDF_O
22,TF_IDF_O
23,BM25_T
24,BM25_O
25,VSM_O
26,Subclasses_T
27,Superclasses_T
28,Relations_T
29,Siblings_T
30,Density_T
31,Density_O
32,Subproperties_T
33,Superproperties_T
34,LabelSearch_T
