Address,,,,,,,,,,,,,
The particulars of the place where someone lives or an organization is situated.,,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://def.seegrid.csiro.au/isotc211/iso19115/2003/citation#Address,7,3.0957427108,3,4,2,3,4,4,1,4,2,3,2
http://erlangen-crm.org/current/E45_Address,9,3.0799709249,3,4,1,4,3,4,1,4,3,3,1
http://kmm.lboro.ac.uk/ecos/1.0#Address,15,2.5640065174,2.5,4,2,0,4,4,3,4,1,2,0
http://models.okkam.org/ENS-core-vocabulary.owl#address,13,2.5780652472,2.5,2,1,3,4,4,4,4,1,2,1
http://purl.obolibrary.org/obo/FLU_0000914,22,1.571279951,1.5,1,2,4,3,0,2,4,1,1,0
http://purl.obolibrary.org/obo/IAO_0000422,14,2.5778498944,2.5,4,2,4,3,3,2,4,2,1,0
http://purl.obolibrary.org/obo/IAO_0000429,35,0.0727218092,0,2,0,0,0,0,2,4,2,0,0
http://purl.obolibrary.org/obo/MS_1000587,18,2.0845154255,2,3,1,1,1,2,3,4,0,2,3
http://purl.obolibrary.org/obo/OBI_0001887,28,0.0829156198,0,1,0,0,0,0,1,4,0,0,1
http://purl.obolibrary.org/obo/OBI_0001890,29,0.0824022054,0,1,0,0,0,0,1,4,0,0,0
http://purl.obolibrary.org/obo/OBI_0001894,29,0.0824022054,0,1,0,0,0,0,1,4,0,0,0
http://purl.obolibrary.org/obo/OBI_0001903,25,0.1070436048,0,1,0,0,0,0,1,3,0,0,0
http://purl.org/b2bo#Address,2,3.595149871,3.5,3,2,4,4,4,4,4,2,3,1
http://purl.org/cerif/frapo/PostalAddress,11,3.0671431063,3,3,1,4,3,3,3,4,0,1,0
http://purl.org/obo/owl/MS#MS_1000587,17,2.0880140834,2,2,1,1,1,2,3,4,0,2,3
http://rdfs.org/sioc/types#AddressBook,33,0.0786115467,0,1,0,1,2,0,0,4,0,0,0
http://schema.org/PostalAddress,6,3.0991031209,3,4,2,1,3,3,3,4,3,1,3
http://sw-portal.deri.org/ontologies/swportal#PostalAddress,5,3.1105541597,3,3,2,4,3,3,3,4,2,1,2
http://topbraid.org/email#Address,19,2.0633608597,2,2,0,1,4,2,4,4,0,2,0
http://vivoweb.org/ontology/core#Address,4,3.5706304618,3.5,4,3,0,4,4,4,4,1,2,2
http://vivoweb.org/ontology/core#USPostalAddress,16,2.1105541597,2,3,2,2,1,3,3,2,1,4,2
http://www.loc.gov/mads/rdf/v1#Address,20,2.0601533129,2,2,0,0,4,2,4,4,0,2,0
http://www.loc.gov/mads/rdf/v1#TermsOfAddressNameElement,26,0.1070436048,0,1,0,0,0,0,1,1,0,0,3
