Author,,,,,,,,,,,,,
"A writer of a book, article, or document.",,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://bibframe.org/vocab/Authority,34,0,0,0,0,0,0,0,0,0,0,0,0
http://commontag.org/ns#AuthorTag,33,0.0786115467,0,0,1,0,0,2,1,4,0,0,0
http://d-nb.info/standards/elementset/gnd#AuthorityResource,21,0.2472066162,0,0,0,1,0,0,0,1,0,0,0
http://erlangen-crm.org/current/E32_Authority_Document,22,0.1105541597,0,0,0,0,0,0,0,3,0,0,0
http://lod.taxonconcept.org/ontology/txn.owl#ScientificAuthorPerson,4,2.2070196678,2,2,2,1,1,2,2,,1,2,2
http://lod.taxonconcept.org/ontology/txn.owl#ScientificNameWithAuthorID,20,0.5740694558,0.5,1,1,1,3,0,0,4,0,0,0
http://ns.nature.com/terms/Contributor,2,3.0777428842,3,3,2,3,4,3,4,4,0,2,1
http://obi.sourceforge.net/ontology/OBI.owl#OBI_357,14,1.0777428842,1,3,2,0,1,1,1,4,0,2,0
http://purl.obolibrary.org/obo/ECO_0000033,27,0.0824022054,0,0,1,0,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/ECO_0000034,27,0.0824022054,0,0,1,0,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/ECO_0000204,27,0.0824022054,0,0,1,0,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/ECO_0000302,27,0.0824022054,0,0,1,0,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/ECO_0000303,27,0.0824022054,0,0,1,0,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/ECO_0000304,27,0.0824022054,0,0,1,0,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/IAO_0000302,5,1.5737027731,1.5,3,1,1,3,2,0,4,0,2,0
http://purl.obolibrary.org/obo/IAO_0000321,16,1.0697657268,1,3,1,0,3,2,1,4,0,0,0
http://purl.obolibrary.org/obo/IAO_0000323,18,0.5854925149,0.5,1,1,1,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/IAO_0000442,6,1.5672120064,1.5,4,3,0,1,0,1,4,2,2,0
http://purl.obolibrary.org/obo/MI_0345,12,1.0880140834,1,1,1,1,1,0,0,4,0,1,0
http://purl.obolibrary.org/obo/MI_0363,26,0.0829156198,0,1,1,0,1,0,0,4,0,0,0
http://purl.obolibrary.org/obo/MI_0621,24,0.1070436048,0,1,1,0,1,0,0,3,0,0,0
http://purl.obolibrary.org/obo/MI_0636,18,0.5854925149,0.5,1,1,0,0,1,1,4,0,0,0
http://purl.obolibrary.org/obo/MI_0868,13,1.0799709249,1,1,1,0,3,1,1,4,0,1,0
http://purl.obolibrary.org/obo/MI_0878,25,0.0839719123,0,1,1,0,3,0,0,3,0,0,0
http://purl.obolibrary.org/obo/MI_0978,15,1.0734313071,1,1,1,3,3,3,1,4,0,1,0
http://purl.obolibrary.org/obo/MI_1221,23,0.1081763729,0,0,1,0,0,0,0,3,0,0,0
http://purl.obolibrary.org/obo/NBO_0000291,34,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.org/cerif/frapo/RegistrationAuthority,34,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.org/obo/owl/MS#MS_1002034,7,1.1185854123,1,1,2,1,1,2,3,,0,2,1
http://purl.org/obo/owl/MS#MS_1002035,9,1.1028991511,1,1,2,1,1,3,3,,0,2,1
http://purl.org/obo/owl/MS#MS_1002036,8,1.1054092553,1,1,2,1,1,3,3,,1,3,1
http://purl.org/spar/deo/AuthorContribution,10,1.1018693207,1,2,2,2,1,1,0,3,1,0,0
http://purl.org/spar/doco/ListOfAuthors,11,1.1005602285,1,1,1,0,0,3,2,,0,1,0
http://schema.org/AuthorizeAction,34,0,0,0,0,0,0,0,0,0,0,0,0
http://scholarometer.indiana.edu/namespaces/author,3,3.0694590628,3,2,2,3,4,4,3,4,0,3,0
http://semanticweb.cs.vu.nl/2009/11/sem/Authority,34,0,0,0,0,0,0,0,0,0,0,0,0
http://tw.rpi.edu/schema/Author,1,3.5810380416,3.5,4,3,4,4,2,4,4,1,1,2
http://vivoweb.org/ontology/core#Authorship,17,1.0671431063,1,3,4,3,1,1,0,4,1,0,1
http://www.loc.gov/mads/rdf/v1#Authority,34,0,0,0,0,0,0,0,0,0,0,0,0
http://www.loc.gov/mads/rdf/v1#DeprecatedAuthority,34,0,0,0,0,0,0,0,0,0,0,0,0
http://www.loc.gov/mads/rdf/v1#Geographic,34,0,0,0,0,0,0,0,0,0,0,0,0
http://www.loria.fr/~coulet/ontology/sopharm/version2.0/disease_ontology.owl#DOID_11162,34,0,0,0,0,0,0,0,0,0,0,0,0
http://www.w3.org/2004/03/trix/swp-2/Authority,34,0,0,0,0,0,0,0,0,0,0,0,0
http://www.w3.org/2004/03/trix/swp-2/CertificationAuthority,34,0,0,0,0,0,0,0,0,0,0,0,0
http://www.w3.org/ns/auth/acl#Authorization,34,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,User-Rating,User-rating (round of),Relevant,Precision @k,Gain,Ideal Gain,,,,,,,
boolean,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MI_0878,0,0,0,0,0,10.313708499,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000304,0,0,0,0,0,6.5072255617,,,,,,,
http://purl.obolibrary.org/obo/MI_0868,1,1,0,0,0.5,5.1568542495,,,,,,,
http://www.loc.gov/mads/rdf/v1#DeprecatedAuthority,0,0,0,0,0,4.4418724773,,,,,,,
http://scholarometer.indiana.edu/namespaces/author,3,3,1,0.2,2.7079696506,3.9898870858,,,,,,,
http://schema.org/AuthorizeAction,0,0,0,0.1666666667,0,3.6738170931,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000204,0,0,0,0.1428571429,0,3.437902833,,,,,,,
http://www.w3.org/2004/03/trix/swp-2/CertificationAuthority,0,0,0,0.125,0,3.2536127808,,,,,,,
http://www.loc.gov/mads/rdf/v1#Authority,0,0,0,0.1111111111,0,3.1047356247,,,,,,,
http://lod.taxonconcept.org/ontology/txn.owl#ScientificNameWithAuthorID,0.5,1,0,0.1,0.1197345715,2.981330356,,,,,,,
,,,,,,,,,,,,,
tf_idf,,,,,,,,,,,,,
http://www.w3.org/ns/auth/acl#Authorization,0,0,0,0,0,,,,,,,,
http://scholarometer.indiana.edu/namespaces/author,3,3,1,0.5,4.416508275,,,,,,,,
http://commontag.org/ns#AuthorTag,0,0,0,0.3333333333,0,,,,,,,,
http://www.loc.gov/mads/rdf/v1#Authority,0,0,0,0.25,0,,,,,,,,
http://ns.nature.com/terms/Contributor,3,3,1,0.4,2.7079696506,,,,,,,,
http://semanticweb.cs.vu.nl/2009/11/sem/Authority,0,0,0,0.3333333333,0,,,,,,,,
http://www.w3.org/2004/03/trix/swp-2/CertificationAuthority,0,0,0,0.2857142857,0,,,,,,,,
http://www.w3.org/2004/03/trix/swp-2/Authority,0,0,0,0.25,0,,,,,,,,
http://www.loc.gov/mads/rdf/v1#Geographic,0,0,0,0.2222222222,0,,,,,,,,
http://www.loc.gov/mads/rdf/v1#DeprecatedAuthority,0,0,0,0.2,0,,,,,,,,
,,,,,,,,,,,,,
bm25,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,1,1.8284271247,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000321,1,1,0,0.5,0.6309297536,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000442,1.5,2,1,0.6666666667,0.9142135624,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000323,0.5,1,0,0.5,0.1783920714,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.6,0.707332166,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000442,1.5,2,1,0.6666666667,0.6512988829,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000321,1,1,0,0.5714285714,0.3333333333,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000323,0.5,1,0,0.5,0.1306698304,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.5555555556,0.5504114094,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000442,1.5,2,1,0.6,0.5285339692,,,,,,,,
,,,,,,,,,,,,,
vector-space,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000304,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000033,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000204,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000302,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000303,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000034,0,0,0,0,0,,,,,,,,
http://www.w3.org/2004/03/trix/swp-2/Authority,0,0,0,0,0,,,,,,,,
http://www.w3.org/2004/03/trix/swp-2/CertificationAuthority,0,0,0,0,0,,,,,,,,
http://www.w3.org/ns/auth/acl#Authorization,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.1,0.5285339692,,,,,,,,
,,,,,,,,,,,,,
class-match-measure,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MI_0878,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/MI_0868,1,1,0,0,0.6309297536,,,,,,,,
http://purl.obolibrary.org/obo/MI_0621,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/MI_0636,0.5,1,0,0,0.1783920714,,,,,,,,
http://purl.obolibrary.org/obo/MI_0345,1,1,0,0,0.3868528072,,,,,,,,
http://purl.obolibrary.org/obo/MI_1221,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/MI_0978,1,1,0,0,0.3333333333,,,,,,,,
http://purl.obolibrary.org/obo/MI_0363,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.1111111111,0.5504114094,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000321,1,1,0,0.1,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
density-measure,,,,,,,,,,,,,
http://www.loc.gov/mads/rdf/v1#DeprecatedAuthority,0,0,0,0,0,,,,,,,,
http://www.loc.gov/mads/rdf/v1#Geographic,0,0,0,0,0,,,,,,,,
http://www.loc.gov/mads/rdf/v1#Authority,0,0,0,0,0,,,,,,,,
http://d-nb.info/standards/elementset/gnd#AuthorityResource,0,0,0,0,0,,,,,,,,
http://bibframe.org/vocab/Authority,0,0,0,0,0,,,,,,,,
http://purl.org/spar/deo/AuthorContribution,1,1,0,0,0.3562071871,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.1428571429,0.6094757082,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000321,1,1,0,0.125,0.3154648768,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000442,1.5,2,1,0.2222222222,0.5504114094,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000323,0.5,1,0,0.2,0.1197345715,,,,,,,,
,,,,,,,,,,,,,
semantic-similarity,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/MI_0878,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/MI_0868,1,1,0,0,0.6309297536,,,,,,,,
http://purl.obolibrary.org/obo/MI_0621,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/MI_0636,0.5,1,0,0,0.1783920714,,,,,,,,
http://purl.obolibrary.org/obo/MI_0345,1,1,0,0,0.3868528072,,,,,,,,
http://purl.obolibrary.org/obo/MI_1221,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/MI_0978,1,1,0,0,0.3333333333,,,,,,,,
http://purl.obolibrary.org/obo/MI_0363,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000304,0,0,0,0,0,,,,,,,,
http://purl.obolibrary.org/obo/ECO_0000033,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,
pagerank (implicit links),,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000442,1.5,2,1,1,1.8284271247,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000323,0.5,1,0,0.5,0.2613396608,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.6666666667,0.9142135624,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000321,1,1,0,0.5,0.4306765581,,,,,,,,
http://schema.org/AuthorizeAction,0,0,0,0.4,0,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000321,1,1,0,0.3333333333,0.3562071871,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000323,0.5,1,0,0.2857142857,0.1380711875,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.375,0.5768045376,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000442,1.5,2,1,0.4444444444,0.5504114094,,,,,,,,
http://obi.sourceforge.net/ontology/OBI.owl#OBI_357,1,1,0,0.4,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
pagerank,,,,,,,,,,,,,
http://www.loria.fr/~coulet/ontology/sopharm/version2.0/disease_ontology.owl#DOID_11162,0,0,0,0,0,,,,,,,,
http://obi.sourceforge.net/ontology/OBI.owl#OBI_357,1,1,0,0,0.6309297536,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000321,1,1,0,0,0.5,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000323,0.5,1,0,0,0.1783920714,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000442,1.5,2,1,0.2,0.707332166,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000302,1.5,2,1,0.3333333333,0.6512988829,,,,,,,,
http://schema.org/AuthorizeAction,0,0,0,0.2857142857,0,,,,,,,,
http://purl.obolibrary.org/obo/NBO_0000291,0,0,0,0.25,0,,,,,,,,
http://commontag.org/ns#AuthorTag,0,0,0,0.2222222222,0,,,,,,,,
http://ns.nature.com/terms/Contributor,3,3,1,0.3,2.0234537842,,,,,,,,
,,,,,,,,,,,,,
between-measure,,,,,,,,,,,,,
http://bibframe.org/vocab/Authority,0,0,0,0,0,,,,,,,,
http://semanticweb.cs.vu.nl/2009/11/sem/Authority,0,0,0,0,0,,,,,,,,
http://purl.org/cerif/frapo/RegistrationAuthority,0,0,0,0,0,,,,,,,,
http://vivoweb.org/ontology/core#Authorship,1,1,0,0,0.4306765581,,,,,,,,
http://scholarometer.indiana.edu/namespaces/author,3,3,1,0.2,2.7079696506,,,,,,,,
http://erlangen-crm.org/current/E32_Authority_Document,0,0,0,0.1666666667,0,,,,,,,,
http://obi.sourceforge.net/ontology/OBI.owl#OBI_357,1,1,0,0.1428571429,0.3333333333,,,,,,,,
http://ns.nature.com/terms/Contributor,3,3,1,0.25,2.2082541375,,,,,,,,
http://tw.rpi.edu/schema/Author,3.5,4,1,0.3333333333,3.1047356247,,,,,,,,
http://purl.obolibrary.org/obo/NBO_0000291,0,0,0,0.3,0,,,,,,,,
,,,,,,,,,,,,,
,Relevant,Precision @ 10,AP (average precision @ 10),DCG,nDCG,,,,,,,,
boolean,1,0.1,0.08,3.33,0.07,,,,,,,,
tf_idf,2,0.2,0.28,7.12,0.15,,,,,,,,
bm25,6,0.6,0.62,6.45,0.14,,,,,,,,
vector-space,1,0.1,0.01,0.53,0.01,,,,,,,,
class-match-measure,1,0.1,0.02,2.37,0.05,,,,,,,,
density-measure,2,0.2,0.07,1.95,0.04,,,,,,,,
semantic-similarity,0,0,0,1.53,0.03,,,,,,,,
pagerank (implicit links),4,0.4,0.49,5.35,0.11,,,,,,,,
pagerank,3,0.3,0.16,4.69,0.1,,,,,,,,
between-measure,3,0.3,0.14,8.78,0.19,,,,,,,,
