Event,,,,,,,,,,,,,
"A thing that happens or takes place, especially one of importance.",,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://acm.rkbexplorer.com/ontologies/acm#I.6.8.3,69,1.5993250767,1.5,3,0,2,1,2,2,0,0,1,2
http://bibframe.org/vocab/Event,43,2.1144344271,2,3,1,2,0,2,2,2,2,1,3
http://d-nb.info/standards/elementset/gnd#ConferenceOrEvent,12,3.1203066258,3,3,3,4,3,3,3,4,1,3,2
http://d-nb.info/standards/elementset/gnd#SeriesOfConferenceOrEvent,82,1.1427248064,1,1,1,0,0,2,1,2,1,1,2
http://data.press.net/ontology/event/Event,1,4.2140872096,4,4,4,4,4,4,3,4,3,4,3
http://data.semanticweb.org/ns/swc/ontology#AcademicEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#BreakEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#MealEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#NonAcademicEvent,31,2.2070196678,2,1,2,1,1,2,2,2,,2,2
http://data.semanticweb.org/ns/swc/ontology#OrganisedEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#PanelEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#SessionEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#SocialEvent,23,2.2140872096,2,1,2,1,1,2,2,2,2,2,2
http://data.semanticweb.org/ns/swc/ontology#TalkEvent,31,2.2070196678,2,1,2,1,1,2,2,2,,2,2
http://data.semanticweb.org/ns/swc/ontology#TrackEvent,33,2.1982062418,2,1,2,1,1,2,2,2,1,2,2
http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,33,2.1982062418,2,1,2,1,1,2,2,2,1,2,2
http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,33,2.1982062418,2,1,2,1,1,2,2,2,1,2,2
http://datos.bcn.cl/ontologies/bcn-congress#Evento,17,3.0694590628,3,3,3,1,4,3,0,0,3,4,3
http://erlangen-crm.org/current/E5_Event,15,3.088640526,3,3,3,1,4,3,2,1,1,4,3
http://eulersharp.sourceforge.net/2003/03swap/event#Event,13,3.1060660172,3,4,3,2,,3,1,4,3,4,3
http://iflastandards.info/ns/fr/frbr/frbrer/C1009,48,2.0906032848,2,2,1,1,3,3,2,4,1,4,2
http://linkedevents.org/ontology/Event,3,3.7,3.5,4,3,3,,4,,4,3,4,3
http://models.okkam.org/ENS-core-vocabulary.owl#event,52,2.0755928946,2,2,1,,,2,4,1,0,4,2
http://obi.sourceforge.net/ontology/OBI.owl#OBI_310,103,0.6276569477,0.5,0,0,2,1,0,0,2,0,1,1
http://obi.sourceforge.net/ontology/OBI.owl#OBI_60,22,2.5668017563,2.5,1,1,4,4,0,4,4,1,3,2
http://purl.obolibrary.org/obo/HP_0009110,137,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0010825,130,0.1546384282,0,0,0,2,1,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0010827,130,0.1546384282,0,0,0,2,1,0,0,0,0,0,0
http://purl.obolibrary.org/obo/IDOMAL_0000405,110,0.331662479,0,0,0,1,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/IEV_0000000,18,3.0663324958,3,2,0,4,4,3,3,4,0,3,1
http://purl.obolibrary.org/obo/IEV_0000003,93,1.0786115467,1,1,0,4,3,1,1,2,0,1,0
http://purl.obolibrary.org/obo/IEV_0000069,93,1.0786115467,1,1,0,4,3,1,1,2,0,1,0
