Location,,,,,,,,,,,,,
A particular place or position.,,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://data.press.net/ontology/stuff/Location,1,4.0691564075,4,4,1,4,4,4,4,4,0,3,2
http://data.totl.net/game/Location,27,1.1144344271,1,1,0,1,3,2,1,2,1,1,0
http://data.totl.net/game/LocationState,52,0.1070436048,0,0,0,0,1,0,1,3,0,1,0
http://eulersharp.sourceforge.net/2003/03swap/genomeAbnormality#ChromosomeTranslocation,42,0.331662479,0,0,0,0,0,0,0,0,1,0,0
http://models.okkam.org/ENS-core-vocabulary.owl#location,2,3.6276569477,3.5,4,3,4,4,4,3,4,2,3,2
http://omv.ontoware.org/2005/05/ontology#Location,12,2.5897697502,2.5,3,2,3,4,2,4,4,1,1,2
http://provenanceweb.org/ns/pml#RowColLocation,64,0.0645497224,0,0,0,4,3,0,0,3,0,1,0
http://purl.obolibrary.org/obo/CEPH_0000199,62,0.0829156198,0,0,0,3,3,0,0,0,0,1,0
http://purl.obolibrary.org/obo/EKB_0000001,15,2.5672120064,2.5,1,0,2,4,2,3,4,0,4,3
http://purl.obolibrary.org/obo/EKB_0000004,16,2.1088214375,2,3,0,1,1,2,2,3,,2,2
http://purl.obolibrary.org/obo/EKB_0000005,19,2.0839719123,2,3,0,1,1,2,2,4,0,2,2
http://purl.obolibrary.org/obo/FLU_0000969,31,1.1018693207,1,3,0,0,0,2,2,2,1,1,1
http://purl.obolibrary.org/obo/GAZ_00000448,18,2.0880140834,2,4,0,2,1,2,2,4,2,2,2
http://purl.obolibrary.org/obo/GO_0034608,32,1.1,1,1,0,0,1,2,2,3,0,0,1
http://purl.obolibrary.org/obo/HP_0001373,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0001374,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0004307,53,0.0973794569,0,0,0,0,1,0,2,3,0,0,1
http://purl.obolibrary.org/obo/HP_0005008,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0005050,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0005070,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0005084,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0005191,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0005678,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0008141,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0012095,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0100886,42,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/IEV_0000169,42,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/IEV_0000187,42,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/IEV_0000417,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/IEV_0000507,47,0.316227766,0,0,0,0,0,0,0,1,0,,0
http://purl.obolibrary.org/obo/IEV_0000962,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/IEV_0001202,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/IEV_0001250,42,0.331662479,0,0,0,0,0,0,0,0,0,0,1
http://purl.obolibrary.org/obo/IEV_0001944,48,0.2472066162,0,0,0,0,0,0,0,1,0,0,1
http://purl.obolibrary.org/obo/IEV_0003716,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/IEV_0003887,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/SO_0000085,55,0.0965506805,0,0,0,0,0,0,2,3,0,0,1
http://purl.obolibrary.org/obo/SO_0000735,55,0.0965506805,0,0,0,0,0,0,2,3,0,0,1
http://purl.obolibrary.org/obo/SO_0000749,60,0.0930260509,0,0,0,0,0,0,2,3,,0,1
http://purl.obolibrary.org/obo/SO_0000751,60,0.0930260509,0,0,0,0,0,0,2,3,,0,1
http://purl.obolibrary.org/obo/VariO_0202,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/VT_0000240,65,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.org/acco/ns#Accommodation,23,1.564981911,1.5,2,3,4,3,0,0,4,1,1,0
http://purl.org/acco/ns#Apartment,34,1.0635933774,1,2,1,4,3,0,0,4,0,1,0
http://purl.org/acco/ns#CampingPitch,33,1.0818982117,1,2,1,1,2,0,0,4,0,1,0
http://purl.org/acco/ns#CampingSite,34,1.0635933774,1,2,1,4,3,0,0,4,0,1,0
