Music,,,,,,,,,,,,,
"Vocal or instrumental sounds (or both) combined in such a way as to produce beauty of form, harmony, and expression of emotion.",,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://acm.rkbexplorer.com/ontologies/acm#H.5.5,47,0.0713624032,0,3,1,0,1,0,0,4,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#J.5.6,38,1.0697657268,1,1,1,0,4,0,3,3,0,0,2
http://bibframe.org/vocab/NotatedMusic,20,1.0991031209,1,1,1,1,3,2,1,3,0,1,0
http://d-nb.info/standards/elementset/gnd#MusicalWork,2,2.1081763729,2,2,0,2,0,2,2,1,0,2,2
http://d-nb.info/standards/elementset/gnd#VersionOfAMusicalWork,16,1.1355261854,1,2,0,1,0,2,2,1,,1,1
http://iflastandards.info/ns/isbd/elements/C2013,46,0.0965506805,0,0,0,0,2,0,0,3,0,0,0
http://purl.obolibrary.org/obo/MF_0000044,19,1.1144344271,1,1,1,1,1,0,0,3,0,0,1
http://purl.obolibrary.org/obo/MF_0000053,40,0.6108625401,0.5,1,1,1,1,0,0,3,0,0,0
http://purl.org/library/MusicalScore,33,1.0777428842,1,1,1,1,2,0,0,4,0,3,2
http://purl.org/net/biblio#MusicalScore,33,1.0777428842,1,1,1,2,2,0,0,4,0,3,1
http://purl.org/ontology/af/MusicSegment,1,3.0856348839,3,3,3,3,4,3,4,4,0,2,2
http://purl.org/ontology/af/MusicStructuralSegment,5,2.0818982117,2,2,2,3,2,2,3,4,0,1,0
http://purl.org/ontology/mo/MusicalExpression,10,2.0674199862,2,2,1,4,0,4,0,4,2,2,1
http://purl.org/ontology/mo/MusicalItem,15,1.1427248064,1,1,1,1,0,1,2,2,0,2,1
http://purl.org/ontology/mo/MusicalManifestation,10,2.0674199862,2,2,1,4,0,4,0,4,2,2,1
http://purl.org/ontology/mo/MusicalWork,2,2.1081763729,2,3,2,2,0,1,2,2,0,2,2
http://purl.org/ontology/mo/MusicArtist,44,0.1219215521,0,1,0,0,0,0,2,0,0,2,1
http://purl.org/ontology/mo/MusicGroup,7,2.0777428842,2,2,2,3,2,0,1,4,0,2,0
http://purl.org/ontology/mo/SoloMusicArtist,42,0.5815262269,0.5,2,1,1,0,0,0,4,0,1,0
http://purl.org/spar/fabio/MusicalComposition,9,2.0679841801,2,2,2,4,2,4,0,4,0,3,1
http://schema.org/MusicAlbum,25,1.0892805382,1,2,2,2,1,1,1,4,0,1,0
http://schema.org/MusicEvent,17,1.1203066258,1,0,1,1,0,2,2,2,0,2,1
http://schema.org/MusicEvent,6,2.0787838597,2,2,2,,0,2,1,4,0,2,0
http://schema.org/MusicGroup,4,2.0824022054,2,2,2,2,2,0,1,4,0,2,0
http://schema.org/MusicPlaylist,25,1.0892805382,1,2,2,2,1,1,1,4,0,1,0
http://schema.org/MusicRecording,30,1.0824022054,1,2,2,1,1,3,1,4,0,1,0
http://schema.org/MusicStore,22,1.0912870929,1,1,1,0,1,0,1,4,1,1,0
http://schema.org/MusicVenue,27,1.0880140834,1,1,1,0,1,0,1,4,0,1,0
http://schema.org/MusicVideoObject,22,1.0912870929,1,1,1,0,1,0,1,4,1,1,0
http://sw.deri.org/2006/07/location/loc#MusicStore,27,1.0880140834,1,1,1,0,1,0,1,4,0,1,0
http://www.kanzaki.com/ns/music#Chamber_Music,35,1.0734313071,1,3,1,3,3,0,1,4,1,1,0
http://www.kanzaki.com/ns/music#Choral_Music,35,1.0734313071,1,3,1,3,3,0,1,4,1,1,0
http://www.kanzaki.com/ns/music#Musical_Event,30,1.0824022054,1,1,2,3,1,2,1,4,0,1,0
http://www.kanzaki.com/ns/music#Musical_Instrument,32,1.0799709249,1,1,1,3,1,0,1,4,0,1,0
http://www.kanzaki.com/ns/music#Musical_Representation,37,1.073073975,1,2,1,2,1,4,1,4,0,1,0
http://www.kanzaki.com/ns/music#Musical_Work,14,1.5686361477,1.5,3,1,4,1,4,1,4,0,1,2
http://www.kanzaki.com/ns/music#MusicalGroup,27,1.0880140834,1,1,2,1,1,0,1,4,0,1,0
http://www.kanzaki.com/ns/music#MusicDirector,22,1.0912870929,1,1,1,1,1,0,1,4,0,1,0
http://www.kanzaki.com/ns/music#Musician,21,1.0973794569,1,2,2,1,1,1,1,4,1,1,0
http://www.kanzaki.com/ns/music#Religious_Music,13,1.5815262269,1.5,3,2,3,3,1,1,4,1,1,0
http://www.loria.fr/~coulet/ontology/sopharm/version2.0/disease_ontology.owl#DOID_8770,41,0.5854925149,0.5,0,1,0,1,0,1,4,0,1,0
http://www.ontotext.com/proton/protonext#Musical,8,2.0727218092,2,3,3,3,3,1,1,4,0,1,0
http://www.ontotext.com/proton/protonext#MusicalComposition,12,1.6090499514,1.5,2,1,1,0,3,2,3,1,2,1
http://www.ontotext.com/proton/protonext#MusicalInstrument,17,1.1203066258,1,1,1,0,0,0,2,2,0,2,1
http://www.ontotext.com/proton/protonext#MusicCompany,44,0.1219215521,0,0,1,0,0,0,2,1,0,2,0
http://www.ontotext.com/proton/protonext#MusicFestival,39,0.6140953613,0.5,1,1,0,0,0,2,2,0,2,0
http://www.ontotext.com/proton/protonext#MusicGenre,43,0.5785013693,0.5,0,1,0,0,0,2,4,0,2,1
,,,,,,,,,,,,,
,User-Rating,User-rating (round of),Relevant,Precision @k,Gain,Ideal Gain,,,,,,,
boolean,,,,,,,,,,,,,
http://www.ontotext.com/proton/protonext#Musical,2,2,1,1,3,7,,,,,,,
http://www.kanzaki.com/ns/music#Musician,1,1,0,0.5,0.6309297536,4.416508275,,,,,,,
http://schema.org/MusicRecording,1,1,0,0.3333333333,0.5,3.5,,,,,,,
http://acm.rkbexplorer.com/ontologies/acm#J.5.6,1,1,0,0.25,0.4306765581,3.0147359065,,,,,,,
http://acm.rkbexplorer.com/ontologies/acm#H.5.5,0,0,0,0.2,0,2.7079696506,,,,,,,
http://purl.org/ontology/mo/MusicGroup,2,2,1,0.3333333333,1.0686215613,2.4934503098,,,,,,,
http://purl.org/ontology/mo/SoloMusicArtist,0.5,1,0,0.2857142857,0.1380711875,2.3333333333,,,,,,,
http://purl.org/ontology/mo/MusicalExpression,2,2,1,0.375,0.9463946304,2.2082541375,,,,,,,
http://schema.org/MusicVenue,1,1,0,0.3333333333,0.3010299957,2.1072099696,,,,,,,
http://www.loria.fr/~coulet/ontology/sopharm/version2.0/disease_ontology.owl#DOID_8770,0.5,1,0,0.3,0.1197345715,2.0234537842,,,,,,,
,,,,,,,,,,,,,
tf_idf,,,,,,,,,,,,,
http://purl.org/ontology/af/MusicSegment,3,3,1,1,7,,,,,,,,
http://purl.org/library/MusicalScore,1,1,0,0.5,0.6309297536,,,,,,,,
http://purl.org/net/biblio#MusicalScore,1,1,0,0.3333333333,0.5,,,,,,,,
http://sw.deri.org/2006/07/location/loc#MusicStore,1,1,0,0.25,0.4306765581,,,,,,,,
http://purl.org/ontology/mo/MusicalManifestation,2,2,1,0.4,1.1605584217,,,,,,,,
http://purl.org/ontology/af/MusicStructuralSegment,2,2,1,0.5,1.0686215613,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000044,1,1,0,0.4285714286,0.3333333333,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Work,1.5,2,1,0.5,0.5768045376,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Event,1,1,0,0.4444444444,0.3010299957,,,,,,,,
http://www.kanzaki.com/ns/music#MusicalGroup,1,1,0,0.4,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
bm25,,,,,,,,,,,,,
http://www.kanzaki.com/ns/music#Musician,1,1,0,0,1,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Representation,1,1,0,0,0.6309297536,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Work,1.5,2,1,0.3333333333,0.9142135624,,,,,,,,
http://www.kanzaki.com/ns/music#Chamber_Music,1,1,0,0.25,0.4306765581,,,,,,,,
http://www.kanzaki.com/ns/music#MusicDirector,1,1,0,0.2,0.3868528072,,,,,,,,
http://www.kanzaki.com/ns/music#Choral_Music,1,1,0,0.1666666667,0.3562071871,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Instrument,1,1,0,0.1428571429,0.3333333333,,,,,,,,
http://www.kanzaki.com/ns/music#Religious_Music,1.5,2,1,0.25,0.5768045376,,,,,,,,
http://www.kanzaki.com/ns/music#MusicalGroup,1,1,0,0.2222222222,0.3010299957,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Event,1,1,0,0.2,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
vector-space,,,,,,,,,,,,,
http://www.kanzaki.com/ns/music#Musician,1,1,0,0,1,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Representation,1,1,0,0,0.6309297536,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Work,1.5,2,1,0.3333333333,0.9142135624,,,,,,,,
http://www.kanzaki.com/ns/music#Chamber_Music,1,1,0,0.25,0.4306765581,,,,,,,,
http://www.kanzaki.com/ns/music#MusicDirector,1,1,0,0.2,0.3868528072,,,,,,,,
http://www.kanzaki.com/ns/music#Choral_Music,1,1,0,0.1666666667,0.3562071871,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Instrument,1,1,0,0.1428571429,0.3333333333,,,,,,,,
http://www.kanzaki.com/ns/music#Religious_Music,1.5,2,1,0.25,0.5768045376,,,,,,,,
http://www.kanzaki.com/ns/music#MusicalGroup,1,1,0,0.2222222222,0.3010299957,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Event,1,1,0,0.2,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
class-match-measure,,,,,,,,,,,,,
http://www.kanzaki.com/ns/music#Musician,1,1,0,0,1,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Representation,1,1,0,0,0.6309297536,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Work,1.5,2,1,0.3333333333,0.9142135624,,,,,,,,
http://www.kanzaki.com/ns/music#Chamber_Music,1,1,0,0.25,0.4306765581,,,,,,,,
http://www.kanzaki.com/ns/music#MusicDirector,1,1,0,0.2,0.3868528072,,,,,,,,
http://www.kanzaki.com/ns/music#Choral_Music,1,1,0,0.1666666667,0.3562071871,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Instrument,1,1,0,0.1428571429,0.3333333333,,,,,,,,
http://www.kanzaki.com/ns/music#Religious_Music,1.5,2,1,0.25,0.5768045376,,,,,,,,
http://www.kanzaki.com/ns/music#MusicalGroup,1,1,0,0.2222222222,0.3010299957,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Event,1,1,0,0.2,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
density-measure,,,,,,,,,,,,,
http://bibframe.org/vocab/NotatedMusic,1,1,0,0,1,,,,,,,,
http://schema.org/MusicPlaylist,1,1,0,0,0.6309297536,,,,,,,,
http://schema.org/MusicVenue,1,1,0,0,0.5,,,,,,,,
http://schema.org/MusicRecording,1,1,0,0,0.4306765581,,,,,,,,
http://schema.org/MusicEvent,2,2,1,0.2,1.1605584217,,,,,,,,
http://schema.org/MusicVideoObject,1,1,0,0.1666666667,0.3562071871,,,,,,,,
http://schema.org/MusicAlbum,1,1,0,0.1428571429,0.3333333333,,,,,,,,
http://schema.org/MusicStore,1,1,0,0.125,0.3154648768,,,,,,,,
http://schema.org/MusicGroup,2,2,1,0.2222222222,0.903089987,,,,,,,,
http://acm.rkbexplorer.com/ontologies/acm#J.5.6,1,1,0,0.2,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
semantic-similarity,,,,,,,,,,,,,
http://www.kanzaki.com/ns/music#Musician,1,1,0,0,1,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Representation,1,1,0,0,0.6309297536,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Work,1.5,2,1,0.3333333333,0.9142135624,,,,,,,,
http://www.kanzaki.com/ns/music#Chamber_Music,1,1,0,0.25,0.4306765581,,,,,,,,
http://www.kanzaki.com/ns/music#MusicDirector,1,1,0,0.2,0.3868528072,,,,,,,,
http://www.kanzaki.com/ns/music#Choral_Music,1,1,0,0.1666666667,0.3562071871,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Instrument,1,1,0,0.1428571429,0.3333333333,,,,,,,,
http://www.kanzaki.com/ns/music#Religious_Music,1.5,2,1,0.25,0.5768045376,,,,,,,,
http://www.kanzaki.com/ns/music#MusicalGroup,1,1,0,0.2222222222,0.3010299957,,,,,,,,
http://www.kanzaki.com/ns/music#Musical_Event,1,1,0,0.2,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
pagerank (implicit links),,,,,,,,,,,,,
http://schema.org/MusicStore,1,1,0,0,1,,,,,,,,
http://schema.org/MusicVenue,1,1,0,0,0.6309297536,,,,,,,,
http://schema.org/MusicVideoObject,1,1,0,0,0.5,,,,,,,,
http://schema.org/MusicRecording,1,1,0,0,0.4306765581,,,,,,,,
http://schema.org/MusicAlbum,1,1,0,0,0.3868528072,,,,,,,,
http://schema.org/MusicPlaylist,1,1,0,0,0.3562071871,,,,,,,,
http://schema.org/MusicGroup,2,2,1,0.1428571429,1,,,,,,,,
http://schema.org/MusicEvent,2,2,1,0.25,0.9463946304,,,,,,,,
http://www.loria.fr/~coulet/ontology/sopharm/version2.0/disease_ontology.owl#DOID_8770,0.5,1,0,0.2222222222,0.1246907069,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000053,0.5,1,0,0.2,0.1197345715,,,,,,,,
,,,,,,,,,,,,,
pagerank,,,,,,,,,,,,,
http://www.loria.fr/~coulet/ontology/sopharm/version2.0/disease_ontology.owl#DOID_8770,0.5,1,0,0,0.4142135624,,,,,,,,
http://schema.org/MusicGroup,2,2,1,0.5,1.8927892607,,,,,,,,
http://schema.org/MusicAlbum,1,1,0,0.3333333333,0.5,,,,,,,,
http://schema.org/MusicStore,1,1,0,0.25,0.4306765581,,,,,,,,
http://schema.org/MusicEvent,2,2,1,0.4,1.1605584217,,,,,,,,
http://schema.org/MusicVideoObject,1,1,0,0.3333333333,0.3562071871,,,,,,,,
http://schema.org/MusicVenue,1,1,0,0.2857142857,0.3333333333,,,,,,,,
http://schema.org/MusicRecording,1,1,0,0.25,0.3154648768,,,,,,,,
http://schema.org/MusicPlaylist,1,1,0,0.2222222222,0.3010299957,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000044,1,1,0,0.2,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
between-measure,,,,,,,,,,,,,
http://purl.org/library/MusicalScore,1,1,0,0,1,,,,,,,,
http://sw.deri.org/2006/07/location/loc#MusicStore,1,1,0,0,0.6309297536,,,,,,,,
http://purl.org/spar/fabio/MusicalComposition,2,2,1,0.3333333333,1.5,,,,,,,,
http://bibframe.org/vocab/NotatedMusic,1,1,0,0.25,0.4306765581,,,,,,,,
http://purl.org/net/biblio#MusicalScore,1,1,0,0.2,0.3868528072,,,,,,,,
http://iflastandards.info/ns/isbd/elements/C2013,0,0,0,0.1666666667,0,,,,,,,,
http://www.loria.fr/~coulet/ontology/sopharm/version2.0/disease_ontology.owl#DOID_8770,0.5,1,0,0.1428571429,0.1380711875,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000053,0.5,1,0,0.125,0.1306698304,,,,,,,,
http://purl.obolibrary.org/obo/MF_0000044,1,1,0,0.1111111111,0.3010299957,,,,,,,,
http://acm.rkbexplorer.com/ontologies/acm#J.5.6,1,1,0,0.1,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Relevant,Precision @ 10,AP (average precision @ 10),DCG,nDCG,,,,,,,,
boolean,3,0.3,0.39,7.14,0.22,,,,,,,,
tf_idf,4,0.4,0.48,12.29,0.39,,,,,,,,
bm25,2,0.2,0.18,5.22,0.16,,,,,,,,
vector-space,2,0.2,0.18,5.22,0.16,,,,,,,,
class-match-measure,2,0.2,0.18,5.22,0.16,,,,,,,,
density-measure,2,0.2,0.11,5.92,0.19,,,,,,,,
semantic-similarity,2,0.2,0.18,5.22,0.16,,,,,,,,
pagerank (implicit links),2,0.2,0.04,5.25,0.17,,,,,,,,
pagerank,2,0.2,0.28,5.99,0.19,,,,,,,,
between-measure,1,0.1,0.14,4.81,0.15,,,,,,,,
