Name,,,,,,,,,,,,,
"A word or set of words by which a person or thing is known, addressed, or referred to.",,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://d-nb.info/standards/elementset/gnd#EarlierNameOfThePerson,10,2.5787221894,2.5,3,1,4,3,2,2,4,0,3,1
http://d-nb.info/standards/elementset/gnd#EthnographicName,32,1.1018693207,1,2,0,1,2,0,2,3,1,0,1
http://d-nb.info/standards/elementset/gnd#FullerFormOfNameOfThePerson,14,2.5698430296,2.5,4,1,4,0,3,2,4,2,4,1
http://d-nb.info/standards/elementset/gnd#LaterNameOfThePerson,9,3.0773192141,3,3,1,4,3,3,2,4,0,3,1
http://d-nb.info/standards/elementset/gnd#MeansOfTransportWithIndividual_name,74,0.1105541597,0,0,0,0,0,0,0,3,0,0,0
http://d-nb.info/standards/elementset/gnd#NameOfSmallGeographicUnitLyingWithinAnotherGeographicUnit,94,0.0674199862,0,0,0,4,0,2,2,3,0,0,0
http://d-nb.info/standards/elementset/gnd#NameOfThePerson,2,3.6276569477,3.5,4,2,4,3,3,4,4,2,4,3
http://d-nb.info/standards/elementset/gnd#PlaceOrGeographicName,31,1.5698430296,1.5,0,2,4,3,2,3,1,0,0,0
http://d-nb.info/standards/elementset/gnd#PreferredNameOfThePerson,7,3.0862439362,3,3,1,4,3,2,2,4,1,4,
http://d-nb.info/standards/elementset/gnd#ProductNameOrBrandName,29,1.5737027731,1.5,2,1,4,3,2,2,0,0,0,0
http://d-nb.info/standards/elementset/gnd#PseudonymNameOfThePerson,15,2.1236033081,2,2,1,1,1,2,3,2,0,2,2
http://d-nb.info/standards/elementset/gnd#RealNameOfThePerson,16,2.0927024811,2,2,1,1,1,2,3,2,0,4,2
http://d-nb.info/standards/elementset/gnd#VariantNameOfThePerson,8,3.0829156198,3,3,1,4,3,3,2,4,1,4,1
http://datos.bcn.cl/ontologies/bcn-norms#GovernmentalOrganization,64,0.1546384282,0,0,0,2,1,0,0,0,0,0,0
http://def.seegrid.csiro.au/isotc211/iso19115/2003/metadata#DimensionNameTypeCode,45,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://def.seegrid.csiro.au/isotc211/iso19115/2003/metadata#MediumNameCode,95,0,0,0,0,0,0,0,0,0,0,0,0
http://def.seegrid.csiro.au/isotc211/iso19156/2011/observation#NamedValue,48,0.2140872096,0,0,1,1,0,0,0,1,0,0,0
http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl#Name,3,3.6051440744,3.5,2,2,4,4,4,4,4,3,2,2
http://erlangen-crm.org/current/E48_Place_Name,12,2.5765941686,2.5,2,1,4,3,3,2,3,3,0,0
http://iflastandards.info/ns/fr/frad/C1011,25,1.595149871,1.5,1,1,1,1,2,3,4,1,3,2
http://iflastandards.info/ns/fr/frad/C1012,21,2.0741619849,2,3,2,1,1,2,4,4,0,4,2
http://iflastandards.info/ns/fr/frad/C1013,18,2.0880140834,2,2,1,1,1,2,3,4,0,3,2
http://iflastandards.info/ns/fr/frad/C1014,23,1.6016299095,1.5,2,1,1,1,2,3,4,1,1,2
http://iflastandards.info/ns/isbd/elements/C2019,39,1.0824022054,1,1,1,0,1,2,3,4,0,1,2
http://kmm.lboro.ac.uk/ecos/1.0#CompanyName,23,1.6016299095,1.5,1,2,1,1,2,3,4,1,1,2
