Organization,,,,,,,,,,,,,
"An organized group of people with a particular purpose, such as a business or government department.",,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
b631871,81,0,0,0,0,0,0,0,0,0,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#D.4.3.3,81,0,0,0,0,0,0,0,0,0,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#D.4.7,68,0.2472066162,0,1,0,0,0,0,1,0,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#E.5.2,71,0.2371708245,0,1,0,0,0,0,,0,0,0,1
http://acm.rkbexplorer.com/ontologies/acm#H.3.2.0,81,0,0,0,0,0,0,0,0,0,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#H.5.3.4,81,0,0,0,0,0,0,0,0,0,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#I.2.9.7,81,0,0,0,0,0,0,0,0,0,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#K.7.2,62,1.073073975,1,1,1,1,2,1,0,4,0,4,1
http://aims.fao.org/aos/geopolitical.owl#organization,14,2.6276569477,2.5,3,2,2,2,2,3,4,2,4,3
http://bibframe.org/vocab/Arrangement,67,0.316227766,0,0,1,0,0,0,0,0,,0,0
http://bibframe.org/vocab/Organization,30,2.0799709249,2,2,1,2,0,3,2,4,1,4,3
http://data.press.net/ontology/stuff/Organization,1,4.331662479,4,4,4,4,4,4,4,4,4,4,3
http://datos.bcn.cl/ontologies/bcn-norms#GovernmentalOrganization,15,2.584106807,2.5,4,4,4,3,2,2,4,1,2,1
http://datos.bcn.cl/ontologies/bcn-norms#GovernmentalOrganizationOriginal,28,2.1144344271,2,2,0,1,1,2,2,3,2,2,3
http://datos.bcn.cl/ontologies/bcn-norms#InternationalOrganization,21,2.158113883,2,3,2,1,1,2,2,3,2,2,2
http://eulersharp.sourceforge.net/2003/03swap/agent#OrganizationRole,59,1.0798935462,1,2,1,,1,0,0,4,2,2,0
http://inference-web.org/2.0/pml-provenance.owl#Organization,13,3.0702246883,3,3,1,,0,3,1,4,,4,3
http://models.okkam.org/ENS-core-vocabulary.owl#organization,11,3.0741619849,3,3,2,0,4,4,4,4,1,3,2
http://purl.obolibrary.org/obo/GO_0000226,81,0,0,0,0,,0,,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0006996,79,0.0829156198,0,0,0,0,0,0,0,0,4,0,0
http://purl.obolibrary.org/obo/GO_0006997,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0007010,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0016043,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0030030,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0030198,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0031268,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0033371,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0044782,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0051276,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0061024,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0070192,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_0071840,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/GO_1902589,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/HP_0012258,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/IEV_0000092,81,0,0,0,0,0,0,0,0,0,0,0,0
http://purl.obolibrary.org/obo/MS_1000590,64,0.7,0.5,0,1,1,1,0,0,0,0,1,1
http://purl.obolibrary.org/obo/OBI_0000020,68,0.2472066162,0,0,1,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/OBI_0000245,4,4.0829156198,4,4,4,3,4,4,0,4,3,4,3
