Person,,,,,,,,,,,,,
A human being regarded as an individual.,,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://bibframe.org/vocab/Person,7,3.5810380416,3.5,2,1,1,4,4,4,4,2,4,3
http://d-nb.info/standards/elementset/gnd#DifferentiatedPerson,29,1.5907727953,1.5,4,3,1,2,2,0,1,1,1,2
http://d-nb.info/standards/elementset/gnd#EarlierNameOfThePerson,64,0.6016299095,0.5,1,0,3,1,0,0,2,0,1,0
http://d-nb.info/standards/elementset/gnd#FullerFormOfNameOfThePerson,54,1.0799709249,1,1,0,3,1,1,0,4,1,1,0
http://d-nb.info/standards/elementset/gnd#GroupOfPersons,41,1.1118033989,1,1,0,0,2,1,1,3,0,1,1
http://d-nb.info/standards/elementset/gnd#LaterNameOfThePerson,48,1.0912870929,1,1,0,3,1,1,0,3,0,1,0
http://d-nb.info/standards/elementset/gnd#NameOfThePerson,59,1.0703914409,1,1,0,4,1,1,0,4,1,1,0
http://d-nb.info/standards/elementset/gnd#Person,13,3.1018693207,3,3,2,1,4,4,2,4,3,3,2
http://d-nb.info/standards/elementset/gnd#PreferredNameOfThePerson,56,1.0769023959,1,1,0,3,1,1,0,4,0,1,0
http://d-nb.info/standards/elementset/gnd#PseudonymNameOfThePerson,48,1.0912870929,1,1,0,3,1,1,0,3,0,1,0
http://d-nb.info/standards/elementset/gnd#UndifferentiatedPerson,42,1.1105541597,1,2,1,1,2,2,0,3,0,1,1
http://d-nb.info/standards/elementset/gnd#VariantNameOfThePerson,48,1.0912870929,1,1,0,3,1,1,0,3,0,1,0
http://data.press.net/ontology/stuff/Person,2,4.1070436048,4,4,3,4,4,4,4,4,1,4,3
http://dati.camera.it/ocd/persona,93,0.0968245837,0,2,0,0,0,0,2,,0,2,2
http://erlangen-crm.org/current/E21_Person,15,3.0747667179,3,4,2,0,3,4,1,,4,3,3
http://eulersharp.sourceforge.net/2003/03swap/human#ContactPerson,81,0.1430193884,0,1,1,0,0,0,0,,0,0,2
http://eulersharp.sourceforge.net/2003/03swap/human#Person,17,2.5832050294,2.5,3,2,2,1,0,3,,,4,3
http://eulersharp.sourceforge.net/2003/03swap/human#PersonLife,82,0.1414213562,0,1,0,0,,0,0,0,1,1,2
http://eulersharp.sourceforge.net/2003/03swap/human#PersonRole,60,0.6276569477,0.5,1,1,0,0,0,0,0,2,1,2
http://eulersharp.sourceforge.net/2003/03swap/organization#LegalPerson,24,2.088640526,2,2,0,0,2,3,2,3,0,2,1
http://iflastandards.info/ns/fr/frad/C1012,57,1.0747667179,1,1,0,,0,1,3,4,2,0,1
http://iflastandards.info/ns/fr/frbr/frbrer/C1005,8,3.1481594395,3,4,3,,4,3,3,4,2,4,3
http://inference-web.org/2.0/pml-provenance.owl#Person,16,3.073073975,3,3,2,0,0,3,3,4,3,4,2
http://kmm.lboro.ac.uk/ecos/1.0#ContactPerson,47,1.1018693207,1,2,2,0,0,0,3,2,1,1,1
http://kmm.lboro.ac.uk/ecos/1.0#KeyPerson,43,1.1059456927,1,2,2,0,0,0,3,1,1,1,1
