Time,,,,,,,,,,,,,
"The indefinite continued progress of existence and events in the past, present, and future regarded as a whole.",,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://acm.rkbexplorer.com/ontologies/acm#H.2.4.2,83,0,0,0,0,0,0,0,0,0,0,0,0
http://acm.rkbexplorer.com/ontologies/acm#H.4.1.4,60,0.2140872096,0,0,0,0,0,0,1,1,0,1,0
http://acm.rkbexplorer.com/ontologies/acm#J.7.6,40,1.1059456927,1,1,1,0,0,0,2,3,0,1,1
http://def.seegrid.csiro.au/isotc211/iso19103/2005/basic#Time,2,4.0691564075,4,3,2,4,4,4,4,4,0,4,1
http://def.seegrid.csiro.au/isotc211/iso19108/2002/temporal#ClockTime,18,2.0845154255,2,1,3,1,0,2,3,4,1,2,3
http://def.seegrid.csiro.au/isotc211/iso19108/2002/temporal#DateAndTime,21,2.0790569415,2,2,2,1,0,2,3,4,0,3,3
http://def.seegrid.csiro.au/isotc211/iso19156/2011/observation#TimeSeriesObservation,67,0.1658312395,0,0,0,0,0,0,0,0,0,2,0
http://erlangen-crm.org/current/E49_Time_Appellation,68,0.1546384282,0,0,0,0,0,0,0,0,0,1,2
http://erlangen-crm.org/current/E52_Time-Span,16,2.0856348839,2,3,3,1,0,2,2,3,0,1,3
http://escience.rpi.edu/ontology/vsto/2/0/vsto.owl#DateTimeInterval,9,2.1144344271,2,2,2,1,0,2,2,3,1,2,3
http://escience.rpi.edu/ontology/vsto/2/0/vsto.owl#Time,46,1.0927024811,1,1,1,1,0,0,1,2,0,3,3
http://eulersharp.sourceforge.net/2003/03swap/quantitiesExtension#Time,8,2.5689319945,2.5,1,1,3,0,2,3,4,0,4,3
http://kdo.render-project.eu/kdo#Sentiment,83,0,0,0,0,0,0,0,0,0,0,0,0
http://ns.inria.fr/prissma/v1#Time,1,4.0839719123,4,3,3,4,4,4,4,4,1,4,1
http://obi.sourceforge.net/ontology/OBI.owl#OBI_63,27,1.5975900073,1.5,1,1,1,0,2,2,3,0,2,3
http://obi.sourceforge.net/ontology/OBI.owl#OBI_64,29,1.5897697502,1.5,1,0,1,0,2,3,3,0,2,2
http://openprovenance.org/model/opmo#OTime,10,2.1105541597,2,2,1,1,0,2,3,3,1,2,2
http://purl.obolibrary.org/obo/CMO_0000932,53,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/CMO_0000942,53,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/CMO_0001044,69,0.1546384282,0,0,0,0,2,0,0,1,0,0,0
http://purl.obolibrary.org/obo/CMO_0001115,53,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/CMO_0001264,53,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/CMO_0001450,65,0.1658312395,0,0,0,0,2,0,0,0,0,0,0
http://purl.obolibrary.org/obo/CMO_0001457,53,0.331662479,0,0,0,0,0,0,0,1,0,0,0
http://purl.obolibrary.org/obo/CMO_0001713,53,0.331662479,0,0,0,0,0,0,0,1,0,0,0
