Title,,,,,,,,,,,,,
"The name of a book, composition, or other artistic work.",,,,,,,,,,,,,
,Rank,Median+0.1/STD,Median,Participant1 ,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10
http://bibframe.org/vocab/Title,2,4.0829156198,4,4,3,4,4,4,4,4,3,0,3
http://erlangen-crm.org/current/E35_Title,1,4.1454436185,4,4,3,4,3,4,2,4,4,4,3
http://iflastandards.info/ns/isbd/elements/C2004,34,0.0786115467,0,1,0,0,2,0,1,4,0,0,0
http://iflastandards.info/ns/isbd/elements/C2021,32,0.1028991511,0,1,0,0,,0,1,3,0,0,0
http://iflastandards.info/ns/isbd/elements/C2022,33,0.0973794569,0,1,0,0,2,0,1,3,0,0,0
http://iflastandards.info/ns/isbd/elements/C2024,31,0.1219215521,0,1,0,0,2,0,1,2,0,0,0
http://iflastandards.info/ns/isbd/elements/C2025,30,0.1483239697,0,1,0,0,2,0,1,0,0,0,0
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#Title,6,2.0671431063,2,2,1,4,4,1,4,4,0,2,1
http://purl.obolibrary.org/obo/IAO_0000305,4,2.5897697502,2.5,4,2,4,3,1,3,4,2,1,2
http://purl.obolibrary.org/obo/IAO_0000329,5,2.0906032848,2,3,2,4,3,1,1,4,2,1,2
http://purl.obolibrary.org/obo/MI_1091,19,1.0769023959,1,3,1,4,3,1,1,4,1,1,1
http://purl.obolibrary.org/obo/MS_1000796,10,1.1203066258,1,1,0,1,1,2,2,0,0,2,2
http://purl.obolibrary.org/obo/MS_1000809,10,1.1203066258,1,1,1,0,3,1,1,0,0,1,1
http://purl.obolibrary.org/obo/MS_1001416,10,1.1203066258,1,1,0,1,1,2,2,0,0,2,2
http://purl.obolibrary.org/obo/OBI_0001622,22,1.073073975,1,2,0,3,3,1,1,4,0,1,0
http://purl.org/obo/owl/MS#MS_1000796,25,0.6108625401,0.5,1,0,0,3,1,1,0,0,1,0
http://purl.org/obo/owl/MS#MS_1000809,25,0.6108625401,0.5,1,0,0,3,1,1,0,0,1,0
http://purl.org/obo/owl/MS#MS_1001416,14,1.1059456927,1,1,0,2,3,1,1,0,0,1,0
http://purl.org/ontology/po/Subtitle,18,1.0787838597,1,2,0,,3,1,1,4,0,2,1
http://purl.org/spar/doco/ChapterSubtitle,16,1.0824022054,1,2,1,2,3,1,1,4,0,1,0
http://purl.org/spar/doco/ChapterTitle,9,1.5765941686,1.5,2,1,4,3,1,2,4,1,1,0
http://purl.org/spar/doco/SectionSubtitle,15,1.088640526,1,2,1,2,3,1,1,4,1,1,0
http://purl.org/spar/doco/SectionTitle,8,1.5854925149,1.5,2,1,3,3,1,2,4,1,1,0
http://purl.org/spar/doco/Subtitle,7,1.5907727953,1.5,2,1,2,3,1,1,4,1,2,0
http://purl.org/spar/doco/Title,3,3.595149871,3.5,3,2,4,4,3,4,4,1,4,2
http://semanticscience.org/resource/CHEMINF_000476,13,1.1105541597,1,1,0,2,3,0,2,1,2,1,1
http://vocab.deri.ie/br#ObjTitle,27,0.572117582,0.5,1,0,0,3,0,2,4,0,1,0
http://www.loc.gov/mads/rdf/v1#MainTitleElement,29,0.566398928,0.5,2,0,3,3,0,0,4,0,1,0
http://www.loc.gov/mads/rdf/v1#NameTitle,23,1.0697657268,1,2,0,1,3,3,0,4,0,1,0
http://www.loc.gov/mads/rdf/v1#SubTitleElement,21,1.0753000869,1,2,0,1,3,1,0,4,0,1,0
http://www.loc.gov/mads/rdf/v1#Title,17,1.0818982117,1,2,0,1,0,1,0,4,0,2,1
http://www.loc.gov/mads/rdf/v1#TitleElement,28,0.5706304618,0.5,2,0,0,3,0,1,4,0,2,0
http://www.ontotext.com/proton/protonext#JobTitle,19,1.0769023959,1,1,1,0,3,0,1,4,0,1,0
http://www.w3.org/2006/vcard/ns#Title,24,1.0638284739,1,1,1,0,4,1,4,4,0,1,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
boolean,User-Rating,User-rating (round of),Relevant,Precision @k,Gain,Ideal Gain,,,,,,,
http://purl.org/spar/doco/SectionSubtitle,1,1,0,0,1,15,,,,,,,
http://purl.org/spar/doco/ChapterSubtitle,1,1,0,0,0.6309297536,9.4639463036,,,,,,,
http://purl.org/obo/owl/MS#MS_1000809,0.5,1,0,0,0.2071067812,7.5,,,,,,,
http://iflastandards.info/ns/isbd/elements/C2022,0,0,0,0,0,6.4601483711,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001622,1,1,0,0,0.3868528072,5.8027921085,,,,,,,
http://purl.obolibrary.org/obo/MS_1000809,1,1,0,0,0.3562071871,5.3431078066,,,,,,,
http://www.loc.gov/mads/rdf/v1#SubTitleElement,1,1,0,0,0.3333333333,5,,,,,,,
http://vocab.deri.ie/br#ObjTitle,0.5,1,0,0,0.1306698304,4.7319731518,,,,,,,
http://bibframe.org/vocab/Title,4,4,1,0.1111111111,4.515449935,4.515449935,,,,,,,
http://iflastandards.info/ns/isbd/elements/C2004,0,0,0,0.1,0,4.3359723948,,,,,,,
,,,,,,,,,,,,,
tf_idf,,,,,,,,,,,,,
http://vocab.deri.ie/br#ObjTitle,0.5,1,0,0,0.4142135624,,,,,,,,
http://bibframe.org/vocab/Title,4,4,1,0.5,9.4639463036,,,,,,,,
http://purl.org/spar/doco/Title,3.5,4,1,0.6666666667,5.1568542495,,,,,,,,
http://purl.org/spar/doco/Subtitle,1.5,2,1,0.75,0.7874607008,,,,,,,,
http://www.loc.gov/mads/rdf/v1#TitleElement,0.5,1,0,0.6,0.1602396794,,,,,,,,
http://www.ontotext.com/proton/protonext#JobTitle,1,1,0,0.5,0.3562071871,,,,,,,,
http://purl.org/spar/doco/SectionTitle,1.5,2,1,0.5714285714,0.6094757082,,,,,,,,
http://purl.org/spar/doco/ChapterSubtitle,1,1,0,0.5,0.3154648768,,,,,,,,
http://purl.org/spar/doco/ChapterTitle,1.5,2,1,0.5555555556,0.5504114094,,,,,,,,
http://purl.org/spar/doco/SectionSubtitle,1,1,0,0.5,0.2890648263,,,,,,,,
,,,,,,,,,,,,,
bm25,,,,,,,,,,,,,
http://purl.org/spar/doco/SectionSubtitle,1,1,0,0,1,,,,,,,,
http://purl.org/spar/doco/ChapterSubtitle,1,1,0,0,0.6309297536,,,,,,,,
http://purl.org/spar/doco/Title,3.5,4,1,0.3333333333,5.1568542495,,,,,,,,
http://purl.org/spar/doco/Subtitle,1.5,2,1,0.5,0.7874607008,,,,,,,,
http://purl.org/spar/doco/SectionTitle,1.5,2,1,0.6,0.707332166,,,,,,,,
http://purl.org/spar/doco/ChapterTitle,1.5,2,1,0.6666666667,0.6512988829,,,,,,,,
