"term","fullTerm"
"dbpedia-owl:period","http://dbpedia.org/ontology/period"
"dbpedia-owl:HistoricalPeriod","http://dbpedia.org/ontology/HistoricalPeriod"
"dbpedia-owl:GeologicalPeriod","http://dbpedia.org/ontology/GeologicalPeriod"
"ncal:periodEnd","http://www.semanticdesktop.org/ontologies/2007/04/02/ncal#periodEnd"
"dbpedia-owl:ProtohistoricalPeriod","http://dbpedia.org/ontology/ProtohistoricalPeriod"
"gndo:beginningOfPeriod","http://d-nb.info/standards/elementset/gnd#beginningOfPeriod"
"gndo:endOfPeriod","http://d-nb.info/standards/elementset/gnd#endOfPeriod"
"dbpedia-owl:elementPeriod","http://dbpedia.org/ontology/elementPeriod"
"dbpedia-owl:PrehistoricalPeriod","http://dbpedia.org/ontology/PrehistoricalPeriod"
"datex:periodExtension","http://vocab.datex.org/terms#periodExtension"
"gc:Period","http://www.oegov.org/core/owl/gc#Period"
"dce:date","http://purl.org/dc/elements/1.1/date"
"sdmx-dimension:refPeriod","http://purl.org/linked-data/sdmx/2009/dimension#refPeriod"
"dcterms:date","http://purl.org/dc/terms/date"
"vra:period","http://simile.mit.edu/2003/10/ontologies/vraCore3#period"
"gndo:periodOfActivity","http://d-nb.info/standards/elementset/gnd#periodOfActivity"
"ocds:Period","http://purl.org/onto-ocds/ocds#Period"
"crm:E4_Period","http://www.cidoc-crm.org/cidoc-crm/E4_Period"
"xbrll:period","https://w3id.org/vocab/xbrll#period"
"xbrll:Period","https://w3id.org/vocab/xbrll#Period"
"foaf:Person","http://xmlns.com/foaf/0.1/Person"
"npg:Person","http://ns.nature.com/terms/Person"
"bbccore:Person","http://www.bbc.co.uk/ontologies/coreconcepts/Person"
"sport:Person","http://www.bbc.co.uk/ontologies/sport/Person"
"schema:Person","http://schema.org/Person"
"dk:Person","http://www.data-knowledge.org/dk/Person"
"akt:Person","http://www.aktors.org/ontology/portal#Person"
"dcterms:creator","http://purl.org/dc/terms/creator"
"dcterms:publisher","http://purl.org/dc/terms/publisher"
"af:person","http://purl.org/ontology/af/person"
"dbpedia-owl:SpaceMission","http://dbpedia.org/ontology/SpaceMission"
"pext:SpaceMission","http://www.ontotext.com/proton/protonext#SpaceMission"
"geo:location","http://www.w3.org/2003/01/geo/wgs84_pos#location"
"event:Event","http://purl.org/NET/c4dm/event.owl#Event"
"void:uriSpace","http://rdfs.org/ns/void#uriSpace"
"dbpedia-owl:mission","http://dbpedia.org/ontology/mission"
"fea:Mission","http://vocab.data.gov/def/fea#Mission"
"essglobal:mission","http://purl.org/essglobal/vocab/mission"
"mil:BattleSpace","http://rdf.muninn-project.org/ontologies/military#BattleSpace"
"ebucore:ColourSpace","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#ColourSpace"
"km4c:AgricultureAndLivestock","http://www.disit.org/km4city/schema#AgricultureAndLivestock"
"owl:sameAs","http://www.w3.org/2002/07/owl#sameAs"
"dcterms:title","http://purl.org/dc/terms/title"
"dcterms:subject","http://purl.org/dc/terms/subject"
"dce:title","http://purl.org/dc/elements/1.1/title"
"skos:prefLabel","http://www.w3.org/2004/02/skos/core#prefLabel"
"dcterms:identifier","http://purl.org/dc/terms/identifier"
"foaf:primaryTopic","http://xmlns.com/foaf/0.1/primaryTopic"
"dcterms:spatial","http://purl.org/dc/terms/spatial"
"odrl:spatial","http://www.w3.org/ns/odrl/2/spatial"
"osspr:within","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/within"
"osspr:northing","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/northing"
"event:place","http://purl.org/NET/c4dm/event.owl#place"
"dbpedia-owl:spacecraft","http://dbpedia.org/ontology/spacecraft"
"juso:SpatialThing","http://rdfs.co/juso/SpatialThing"
"dbpedia-owl:Spacecraft","http://dbpedia.org/ontology/Spacecraft"
"schema:spatial","http://schema.org/spatial"
"osspr:easting","http://data.ordnancesurvey.co.uk/ontology/spatialrelations/easting"
"gsp:defaultGeometry","http://www.opengis.net/ont/geosparql#defaultGeometry"
"gsp:rcc8ec","http://www.opengis.net/ont/geosparql#rcc8ec"
"gsp:rcc8po","http://www.opengis.net/ont/geosparql#rcc8po"
"gsp:sfEquals","http://www.opengis.net/ont/geosparql#sfEquals"
"gsp:SpatialObject","http://www.opengis.net/ont/geosparql#SpatialObject"
"gsp:asWKT","http://www.opengis.net/ont/geosparql#asWKT"
"gsp:coordinateDimension","http://www.opengis.net/ont/geosparql#coordinateDimension"
"gsp:ehContains","http://www.opengis.net/ont/geosparql#ehContains"
"gsp:ehEquals","http://www.opengis.net/ont/geosparql#ehEquals"
"gsp:rcc8dc","http://www.opengis.net/ont/geosparql#rcc8dc"
"lingvo:notRead","http://www.lingvoj.org/ontology#notRead"
"elec:votosValidos","http://purl.org/ctic/sector-publico/elecciones#votosValidos"
"emp:plazasMinusvalidos","http://purl.org/ctic/empleo/oferta#plazasMinusvalidos"
"pext:EntertainmentCompany","http://www.ontotext.com/proton/protonext#EntertainmentCompany"
"frbr:owner","http://purl.org/vocab/frbr/core#owner"
"mrel:own","http://id.loc.gov/vocabulary/relators/own"
"akt:Town","http://www.aktors.org/ontology/portal#Town"
"dbpedia-owl:owner","http://dbpedia.org/ontology/owner"
"edm:isShownAt","http://www.europeana.eu/schemas/edm/isShownAt"
"gndo:owner","http://d-nb.info/standards/elementset/gnd#owner"
"being:owns","http://contextus.net/ontology/ontomedia/ext/common/being#owns"
"juso.kr:Town","http://rdfs.co/juso/kr/Town"
"gr:owns","http://purl.org/goodrelations/v1#owns"
"osr:Town","http://contextus.net/ontology/ontomedia/core/space#Town"
"foaf:Agent","http://xmlns.com/foaf/0.1/Agent"
"dpn:owns","http://purl.org/dpn#owns"
