"Ranker","Configuration","Fold","MAP","MAP_improvement","MAP_pvalue","NDCG@3","NDCG@3_improvement","NDCG@3_pvalue","NDCG@5","NDCG@5_improvement","NDCG@5_pvalue","NDCG@10","NDCG@10_improvement","NDCG@10_pvalue","ERR@3","ERR@3_improvement","ERR@3_pvalue","ERR@5","ERR@5_improvement","ERR@5_pvalue","ERR@10","ERR@10_improvement","ERR@10_pvalue"
"AdaRank","Baseline","1","0.4346","",NA,"0.26","",NA,"0.3023","",NA,"0.3614","",NA,"0.0718","",NA,"0.089","",NA,"0.109","",NA
"AdaRank","Baseline","2","0.4316","",NA,"0.2698","",NA,"0.3","",NA,"0.3538","",NA,"0.0745","",NA,"0.0901","",NA,"0.1096","",NA
"AdaRank","Baseline","3","0.4378","",NA,"0.2668","",NA,"0.3063","",NA,"0.3652","",NA,"0.0718","",NA,"0.0885","",NA,"0.1077","",NA
"AdaRank","Baseline","4","0.4288","",NA,"0.2436","",NA,"0.2855","",NA,"0.3505","",NA,"0.0664","",NA,"0.0828","",NA,"0.103","",NA
"AdaRank","Baseline","5","0.4329","",NA,"0.2641","",NA,"0.301","",NA,"0.3567","",NA,"0.0677","",NA,"0.0837","",NA,"0.1028","",NA
"AdaRank","Baseline","MEAN","0.43314",NA,NA,"0.26086",NA,NA,"0.29902",NA,NA,"0.35752",NA,NA,"0.07044",NA,NA,"0.08682",NA,NA,"0.10642",NA,NA
"AdaRank","LOVSimple","1","0.714","+0.2795 (+64.3%)","0","0.6499","+0.3898 (+149.91%)","0","0.6883","+0.386 (+127.7%)","0","0.7215","+0.3601 (+99.65%)","0","0.2004","+0.1286 (+179.25%)","0","0.2245","+0.1356 (+152.36%)","0","0.2455","+0.1365 (+125.21%)","0"
"AdaRank","LOVSimple","2","0.71","+0.2784 (+64.5%)","0","0.6349","+0.3652 (+135.37%)","0","0.6798","+0.3798 (+126.6%)","0","0.7171","+0.3633 (+102.67%)","0","0.1986","+0.1241 (+166.52%)","0","0.2236","+0.1334 (+148.05%)","0","0.2443","+0.1348 (+123.0%)","0"
"AdaRank","LOVSimple","3","0.7132","+0.2754 (+62.91%)","0","0.6451","+0.3782 (+141.75%)","0","0.6866","+0.3803 (+124.16%)","0","0.7222","+0.357 (+97.77%)","0","0.1937","+0.122 (+169.9%)","0","0.2183","+0.1298 (+146.69%)","0","0.2393","+0.1316 (+122.22%)","0"
"AdaRank","LOVSimple","4","0.7062","+0.2774 (+64.69%)","0","0.6262","+0.3827 (+157.1%)","0","0.67","+0.3845 (+134.69%)","0","0.7117","+0.3612 (+103.02%)","0","0.1903","+0.1239 (+186.57%)","0","0.2146","+0.1318 (+159.06%)","0","0.2357","+0.1327 (+128.77%)","0"
"AdaRank","LOVSimple","5","0.7023","+0.2694 (+62.23%)","0","0.6321","+0.368 (+139.36%)","0","0.6706","+0.3696 (+122.8%)","0","0.7089","+0.3522 (+98.71%)","0","0.189","+0.1212 (+178.96%)","0","0.212","+0.1283 (+153.37%)","0","0.2329","+0.1301 (+126.63%)","0"
"AdaRank","LOVSimple","MEAN","0.70914",NA,"0","0.63764",NA,"0","0.67906",NA,"0","0.71628",NA,"0","0.1944",NA,"0","0.2186",NA,"0","0.23954",NA,"0"
"AdaRank","AKTiveRank","1","0.5502","+0.1156 (+26.61%)","0","0.4554","+0.1953 (+75.11%)","0","0.4567","+0.1544 (+51.07%)","0","0.4781","+0.1167 (+32.3%)","0","0.1246","+0.0528 (+73.57%)","0","0.1419","+0.0529 (+59.49%)","0","0.1603","+0.0513 (+47.11%)","0"
"AdaRank","AKTiveRank","2","0.5366","+0.105 (+24.33%)","0","0.4377","+0.1679 (+62.26%)","0","0.4403","+0.1403 (+46.76%)","0","0.4627","+0.1089 (+30.77%)","0","0.1242","+0.0497 (+66.7%)","0","0.1411","+0.051 (+56.57%)","0","0.1591","+0.0496 (+45.24%)","0"
"AdaRank","AKTiveRank","3","0.5547","+0.1169 (+26.69%)","0","0.4616","+0.1947 (+72.97%)","0","0.4593","+0.153 (+49.94%)","0","0.4876","+0.1224 (+33.51%)","0","0.1258","+0.054 (+75.23%)","0","0.1421","+0.0536 (+60.63%)","0","0.1614","+0.0538 (+49.91%)","0"
"AdaRank","AKTiveRank","4","0.5535","+0.1247 (+29.09%)","0","0.4612","+0.2176 (+89.35%)","0","0.4608","+0.1753 (+61.42%)","0","0.4839","+0.1333 (+38.04%)","0","0.1251","+0.0587 (+88.45%)","0","0.1413","+0.0584 (+70.55%)","0","0.1598","+0.0568 (+55.11%)","0"
"AdaRank","AKTiveRank","5","0.5437","+0.1108 (+25.6%)","0","0.4499","+0.1859 (+70.39%)","0","0.4492","+0.1482 (+49.23%)","0","0.4725","+0.1158 (+32.45%)","0","0.1233","+0.0555 (+81.95%)","0","0.1395","+0.0559 (+66.79%)","0","0.1577","+0.055 (+53.48%)","0"
"AdaRank","AKTiveRank","MEAN","0.54774",NA,"0","0.45316",NA,"0","0.45326",NA,"0","0.47696",NA,"0","0.1246",NA,"0","0.14118",NA,"0","0.15966",NA,"0"
"AdaRank","DWRank","1","0.4784","+0.0438 (+10.08%)","0","0.3721","+0.112 (+43.08%)","0","0.3769","+0.0746 (+24.69%)","0","0.3992","+0.0379 (+10.48%)","1e-04","0.0959","+0.0241 (+33.63%)","0","0.1121","+0.0231 (+25.98%)","0","0.1295","+0.0206 (+18.86%)","0"
"AdaRank","DWRank","2","0.478","+0.0464 (+10.75%)","0","0.3596","+0.0898 (+33.29%)","0","0.3754","+0.0754 (+25.12%)","0","0.3993","+0.0455 (+12.86%)","0","0.094","+0.0195 (+26.22%)","0","0.1112","+0.0211 (+23.39%)","0","0.1285","+0.0189 (+17.27%)","0"
"AdaRank","DWRank","3","0.4807","+0.0429 (+9.8%)","0","0.3713","+0.1044 (+39.14%)","0","0.3808","+0.0745 (+24.32%)","0","0.4032","+0.038 (+10.4%)","0","0.0934","+0.0216 (+30.15%)","0","0.1099","+0.0214 (+24.21%)","0","0.1271","+0.0194 (+18.03%)","0"
"AdaRank","DWRank","4","0.4876","+0.0588 (+13.71%)","0","0.3856","+0.142 (+58.29%)","0","0.3929","+0.1074 (+37.63%)","0","0.4152","+0.0647 (+18.45%)","0","0.0996","+0.0332 (+50.06%)","0","0.1162","+0.0333 (+40.22%)","0","0.1331","+0.0301 (+29.22%)","0"
"AdaRank","DWRank","5","0.4816","+0.0487 (+11.25%)","0","0.3741","+0.1101 (+41.69%)","0","0.3819","+0.0809 (+26.89%)","0","0.4049","+0.0482 (+13.5%)","0","0.0925","+0.0247 (+36.52%)","0","0.109","+0.0254 (+30.33%)","0","0.1265","+0.0237 (+23.07%)","0"
"AdaRank","DWRank","MEAN","0.48126",NA,"0","0.37254",NA,"0","0.38158",NA,"0","0.40436",NA,"2e-05","0.09508",NA,"0","0.11168",NA,"0","0.12894",NA,"0"
"AdaRank","CBRBench","1","0.4931","+0.0585 (+13.47%)","0","0.3834","+0.1233 (+47.42%)","0","0.3798","+0.0775 (+25.64%)","0","0.4078","+0.0465 (+12.86%)","0","0.1078","+0.036 (+50.22%)","0","0.1218","+0.0329 (+36.93%)","0","0.1397","+0.0307 (+28.21%)","0"
"AdaRank","CBRBench","2","0.4816","+0.0501 (+11.6%)","0","0.3578","+0.088 (+32.63%)","0","0.3651","+0.0651 (+21.69%)","0","0.398","+0.0442 (+12.48%)","0","0.1045","+0.03 (+40.32%)","0","0.1194","+0.0293 (+32.47%)","0","0.1368","+0.0273 (+24.9%)","0"
"AdaRank","CBRBench","3","0.5086","+0.0708 (+16.18%)","0","0.4023","+0.1354 (+50.76%)","0","0.4012","+0.0949 (+30.97%)","0","0.4303","+0.0651 (+17.82%)","0","0.1107","+0.0389 (+54.25%)","0","0.1244","+0.036 (+40.63%)","0","0.142","+0.0343 (+31.83%)","0"
"AdaRank","CBRBench","4","0.4938","+0.065 (+15.16%)","0","0.3768","+0.1332 (+54.7%)","0","0.3821","+0.0967 (+33.86%)","0","0.4154","+0.0648 (+18.49%)","0","0.1051","+0.0387 (+58.29%)","0","0.1198","+0.037 (+44.61%)","0","0.1376","+0.0346 (+33.58%)","0"
