"Ranker","Configuration","Fold","MAP","MAP_improvement","MAP_pvalue","NDCG@3","NDCG@3_improvement","NDCG@3_pvalue","NDCG@5","NDCG@5_improvement","NDCG@5_pvalue","NDCG@10","NDCG@10_improvement","NDCG@10_pvalue","ERR@3","ERR@3_improvement","ERR@3_pvalue","ERR@5","ERR@5_improvement","ERR@5_pvalue","ERR@10","ERR@10_improvement","ERR@10_pvalue"
"RankNet","Baseline","1","0.4346","",NA,"0.26","",NA,"0.3023","",NA,"0.3614","",NA,"0.0718","",NA,"0.089","",NA,"0.109","",NA
"RankNet","Baseline","2","0.4316","",NA,"0.2698","",NA,"0.3","",NA,"0.3538","",NA,"0.0745","",NA,"0.0901","",NA,"0.1096","",NA
"RankNet","Baseline","3","0.4378","",NA,"0.2668","",NA,"0.3063","",NA,"0.3652","",NA,"0.0718","",NA,"0.0885","",NA,"0.1077","",NA
"RankNet","Baseline","4","0.4288","",NA,"0.2436","",NA,"0.2855","",NA,"0.3505","",NA,"0.0664","",NA,"0.0828","",NA,"0.103","",NA
"RankNet","Baseline","5","0.4329","",NA,"0.2641","",NA,"0.301","",NA,"0.3567","",NA,"0.0677","",NA,"0.0837","",NA,"0.1028","",NA
"RankNet","Baseline","MEAN","0.43314",NA,NA,"0.26086",NA,NA,"0.29902",NA,NA,"0.35752",NA,NA,"0.07044",NA,NA,"0.08682",NA,NA,"0.10642",NA,NA
"RankNet","LOVSimple","1","0.7158","+0.2813 (+64.72%)","0","0.6482","+0.3882 (+149.28%)","0","0.6883","+0.386 (+127.7%)","0","0.7218","+0.3604 (+99.75%)","0","0.1975","+0.1258 (+175.26%)","0","0.2219","+0.1329 (+149.41%)","0","0.243","+0.134 (+122.93%)","0"
"RankNet","LOVSimple","2","0.7086","+0.277 (+64.19%)","0","0.6313","+0.3615 (+134.01%)","0","0.6763","+0.3763 (+125.42%)","0","0.7129","+0.3591 (+101.49%)","0","0.1961","+0.1216 (+163.15%)","0","0.2215","+0.1314 (+145.77%)","0","0.242","+0.1325 (+120.9%)","0"
"RankNet","LOVSimple","3","0.7347","+0.2968 (+67.8%)","0","0.6806","+0.4138 (+155.07%)","0","0.7155","+0.4092 (+133.59%)","0","0.7456","+0.3804 (+104.16%)","0","0.2044","+0.1327 (+184.82%)","0","0.2292","+0.1407 (+159.05%)","0","0.2502","+0.1426 (+132.38%)","0"
"RankNet","LOVSimple","4","0.7171","+0.2883 (+67.24%)","0","0.6315","+0.3879 (+159.24%)","0","0.6779","+0.3924 (+137.45%)","0","0.7181","+0.3675 (+104.85%)","0","0.1893","+0.1229 (+185.08%)","0","0.2142","+0.1313 (+158.54%)","0","0.2354","+0.1324 (+128.51%)","0"
"RankNet","LOVSimple","5","0.7104","+0.2775 (+64.09%)","0","0.6406","+0.3765 (+142.58%)","0","0.6815","+0.3805 (+126.42%)","0","0.7192","+0.3624 (+101.59%)","0","0.1885","+0.1208 (+178.27%)","0","0.2119","+0.1282 (+153.27%)","0","0.2331","+0.1303 (+126.81%)","0"
"RankNet","LOVSimple","MEAN","0.71732",NA,"0","0.64644",NA,"0","0.6879",NA,"0","0.72352",NA,"0","0.19516",NA,"0","0.21974",NA,"0","0.24074",NA,"0"
"RankNet","AKTiveRank","1","0.5733","+0.1387 (+31.92%)","0","0.4763","+0.2162 (+83.15%)","0","0.486","+0.1838 (+60.79%)","0","0.4988","+0.1374 (+38.02%)","0","0.1236","+0.0519 (+72.29%)","0","0.1423","+0.0533 (+59.91%)","0","0.1601","+0.0511 (+46.89%)","0"
"RankNet","AKTiveRank","2","0.5544","+0.1228 (+28.46%)","0","0.4421","+0.1723 (+63.87%)","0","0.4492","+0.1492 (+49.72%)","0","0.487","+0.1332 (+37.64%)","0","0.1249","+0.0504 (+67.63%)","0","0.1418","+0.0516 (+57.29%)","0","0.162","+0.0525 (+47.88%)","0"
"RankNet","AKTiveRank","3","0.5575","+0.1197 (+27.34%)","0","0.4566","+0.1897 (+71.11%)","0","0.4589","+0.1526 (+49.83%)","0","0.5037","+0.1385 (+37.93%)","0","0.1248","+0.053 (+73.83%)","0","0.1414","+0.053 (+59.85%)","0","0.163","+0.0553 (+51.32%)","0"
"RankNet","AKTiveRank","4","0.5621","+0.1334 (+31.1%)","0","0.4368","+0.1932 (+79.32%)","0","0.4568","+0.1713 (+60.01%)","0","0.5022","+0.1517 (+43.26%)","0","0.1158","+0.0495 (+74.49%)","0","0.1354","+0.0526 (+63.45%)","0","0.1569","+0.0539 (+52.34%)","0"
"RankNet","AKTiveRank","5","0.5673","+0.1344 (+31.04%)","0","0.4849","+0.2208 (+83.62%)","0","0.492","+0.191 (+63.45%)","0","0.5054","+0.1487 (+41.68%)","0","0.1309","+0.0631 (+93.17%)","0","0.1482","+0.0645 (+77.14%)","0","0.166","+0.0633 (+61.57%)","0"
"RankNet","AKTiveRank","MEAN","0.56292",NA,"0","0.45934",NA,"0","0.46858",NA,"0","0.49942",NA,"0","0.124",NA,"0","0.14182",NA,"0","0.1616",NA,"0"
"RankNet","DWRank","1","0.5648","+0.1302 (+29.96%)","0","0.4932","+0.2332 (+89.66%)","0","0.5075","+0.2052 (+67.88%)","0","0.5367","+0.1753 (+48.52%)","0","0.1454","+0.0736 (+102.61%)","0","0.1656","+0.0766 (+86.09%)","0","0.1852","+0.0762 (+69.92%)","0"
"RankNet","DWRank","2","0.5904","+0.1588 (+36.8%)","0","0.5199","+0.2502 (+92.73%)","0","0.5302","+0.2302 (+76.72%)","0","0.5591","+0.2053 (+58.02%)","0","0.1579","+0.0834 (+111.92%)","0","0.1779","+0.0878 (+97.37%)","0","0.1972","+0.0877 (+80.01%)","0"
"RankNet","DWRank","3","0.5345","+0.0967 (+22.08%)","0","0.4454","+0.1786 (+66.91%)","0","0.4519","+0.1456 (+47.54%)","0","0.4779","+0.1127 (+30.87%)","0","0.1222","+0.0504 (+70.26%)","0","0.1398","+0.0513 (+58.03%)","0","0.1587","+0.051 (+47.38%)","0"
"RankNet","DWRank","4","0.5803","+0.1515 (+35.33%)","0","0.5036","+0.26 (+106.74%)","0","0.5192","+0.2338 (+81.88%)","0","0.5497","+0.1992 (+56.82%)","0","0.1525","+0.0862 (+129.77%)","0","0.1723","+0.0894 (+107.96%)","0","0.1912","+0.0882 (+85.61%)","0"
